Drug_Name,Indication
Loracarbef,"Used to treat upper respiratory tract bacterial infections, chronic bronchitis, pneumonia, sinusitis, pharyntitis and tonsillitis, skin absceses, urinary tract infections and pyelonephritis caused by <i>E. coli</i>, <i>S. pyogenes</i>, <i>S. aureus</i>, <i>S. saprphyticus</i>, <i>S. penumoniae</i>, <i>H. influenzae</i> and <i>M. catarrhalis</i>."
Loratadine,"Loratadine is a 2nd generation antihistamine and is used to manage symptoms of allergic rhinitis, wheal formation, urticaria, and other allergic dermatologic conditions.[A176435][A176438][L8486]"
Lorazepam,"Lorazepam is FDA-approved for the short-term relief of anxiety symptoms related to anxiety disorders and anxiety associated with depressive symptoms such as anxiety-associated insomnia. It is as well used as an anesthesia premedication in adults to relieve anxiety or to produce sedation/amnesia and for the treatment of status epilepticus.[T385] Some off-label indications of lorazepam include rapid tranquilization of an agitated patient, alcohol withdrawal delirium, alcohol withdrawal syndrome, muscle spasms, insomnia, panic disorder, delirium, chemotherapy-associated anticipatory nausea and vomiting, and psychogenic catatonia.[T385]"
Lorcaserin,"For the treatment of obesity, as an adjunct to a reduced-calorie diet and increased physical activity."
Lorlatinib,"Lorlatinib is indicated for the treatment of adult patients with ALK-positive metastatic non-small cell lung cancer (NSCLC).[L39905] In the EU, it is indicated for the treatment of adult patients with ALK-positive advanced NSCLC not previously treated with an ALK inhibitor, or whose disease has progressed after using either [alectinib] or [ceritinib], or [crizotinib] and at least one other ALK inhibitor.[L13580]"
Lormetazepam,For the treatment of short-term insomnia [L927]
Lornoxicam,"For the treatment of acute mild to moderate pain, as well as pain and inflammation of the joints caused by certain types of rheumatic diseases."
Lorpiprazole,"In 2016, lorpiprazole was classified in the ""Chemical structure-related drug-like criteria of global approved drugs"" as an antipsychotic and anxiolytic.[L1167] An antipsychotic is a medication used to treat a state of delusion, hallucination, paranoia or disordered thought. On the other hand, an anxiolytic is a medication used for the treatment of severe, chronic or debilitating anxiety. The anxiety state can be defined as an unpleasant state of tension, apprehension or uneasiness.[T77]"
Losartan,"Losartan is indicated to treat hypertension in patients older than 6 years, reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy (though this benefit may not extend to patients with African heritage), and to treat diabetic nephropathy with elevated serum creatinine and proteinuria in patients with type 2 diabetes and hypertension.[L7423] Losartan with hydrochlorothiazide is indicated to treat hypertension and to reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy (though this benefit may not extend to patients with African heritage).[L7426,L45663]"
Loteprednol etabonate,A number of prescription loteprednol etabonate ophthalmic products are specifically indicated for the treatment of post-operative inflammation and pain following ocular surgery [FDA Label].
Lotilaner,Lotilaner is indicated for the treatment of Demodex blepharitis.[L47546]
Lovastatin,"Lovastatin is indicated to reduce the risk of myocardial infarction, unstable angina, and the need for coronary revascularization procedures in individuals without symptomatic cardiovascular disease, average to moderately elevated total-C and LDL-C, and below average HDL-C. It is indicated as an intervention alternative in individuals presenting dyslipidemia at risk of developing atherosclerotic vascular disease. The administration of this agent should be accompanied by the implementation of a fat and cholesterol-restricted diet.[F4661] Therapy with lipid-altering agents should be a component of multiple risk factor intervention in those individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Lovastatin is indicated as an adjunct to diet for the reduction of elevated total-C and LDL-C levels in patients with primary hypercholesterolemia (Types IIa and IIb2), when the response to diet restricted in saturated fat and cholesterol and to other nonpharmacological measures alone has been inadequate.[F4661,F4664] Lovastatin is also indicated to slow the progression of coronary atherosclerosis in patients with coronary heart disease as part of a treatment strategy to lower total-C and LDL-C to target levels.[F4661] Lovastatin is indicated as an adjunct to diet to reduce total-C, LDL-C and apolipoprotein B levels in adolescent boys and girls with Heterozygous Familial Hypercholesterolemia (HeFH) who are at least one year post-menarche, 10 to 17 years of age, with HeFH if after an adequate trial of diet therapy the following findings are present: LDL-C remains greater than 189 mg/dL or LDL-C remains greater than 160 mg/dL and there is a positive family history of premature cardiovascular disease or two or more other CVD risk factors are present in the adolescent patient. Before administering lovastatin, it is important to rule out the presence of secondary causes of hypercholesterolemia and a lipid profile should be performed. Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD. Statin-indicated conditions include diabetes mellitus, clinical atherosclerosis (including myocardial infarction, acute coronary syndromes, stable angina, documented coronary artery disease, stroke, trans ischemic attack (TIA), documented carotid disease, peripheral artery disease, and claudication), abdominal aortic aneurysm, chronic kidney disease, and severely elevated LDL-C levels.[A181087, A181406]"
Lovotibeglogene autotemcel,Lovotibeglogene autotemcel is indicated for the treatment of patients 12 years of age or older with sickle cell disease and a history of vaso-occlusive events.[L49256]
Loxapine,For the management of the manifestations of psychotic disorders such as schizophrenia
Loxoprofen,"Loxoprofen is non-steroidal anti-inflammatory medication (NSAID) indicated for pain and inflammation related to musculoskeletal and joint disorders.[L1226] In addition to its effects on pain, it is an antipyretic and anti-inflammatory medication.[L1227]"
Lubiprostone,"Lubiprostone is indicated for the treatment of adult patients with chronic idiopathic constipation, or opioid-induced constipation in patients with chronic non-cancer pain.[L4421] It is also indicated for the treatment of irritable bowel syndrome with constipation (IBS-C) in female patients ≥18 years old.[L4421]"
Lucinactant,Intended for the prevention of respiratory distress syndrome (RDS) in premature infants at high risk for RDS.
Luliconazole,"Luliconazole is indicated for the treatment of interdigital tinea pedis, tinea cruris, or tinea corporis infections caused by Trichophyton rubrum and Epidermophyton floccosum.[L39910]"
Lumacaftor,"When used in combination with the drug [lumacaftor] as the product Orkambi, ivacaftor is indicated for the management of CF in patients aged one year and older who are homozygous for the _F508del_ mutation in the CFTR gene. If the patient’s genotype is unknown, an FDA-cleared CF mutation test should be used to detect the presence of the _F508del_ mutation on both alleles of the CFTR gene.[L43060]"
Lumasiran,"Lumasiran is indicated for the treatment of primary hyperoxaluria type 1 (PH1) to lower urinary and plasma oxalate levels in pediatric and adult patients.[L23394,L23519,L43413]"
